title;url
Риск-аналитик;https://novosibirsk.hh.ru/vacancy/83994674?from=vacancy_search_list&query=python
Тестировщик программного обеспечения;https://novosibirsk.hh.ru/vacancy/76747159?from=vacancy_search_list&query=python
Ведущий инженер разработчик С++ под MacOS;https://novosibirsk.hh.ru/vacancy/84826854?from=vacancy_search_list&query=python
Инженер по автоматизации тестирования (О2);https://novosibirsk.hh.ru/vacancy/84823056?from=vacancy_search_list&query=python
DevOps инженер;https://novosibirsk.hh.ru/vacancy/84867084?from=vacancy_search_list&query=python
QA Automation Engineer (Senior), компиляторы;https://novosibirsk.hh.ru/vacancy/84780260?from=vacancy_search_list&query=python
PHP-разработчик;https://novosibirsk.hh.ru/vacancy/84399422?from=vacancy_search_list&query=python
Риск-технолог;https://novosibirsk.hh.ru/vacancy/84621992?from=vacancy_search_list&query=python
QA Automation Engineer (Senior);https://novosibirsk.hh.ru/vacancy/84780155?from=vacancy_search_list&query=python
Маркетолог-аналитик;https://novosibirsk.hh.ru/vacancy/84556357?from=vacancy_search_list&query=python
Специалист отдела валидации и риск-расчетов;https://novosibirsk.hh.ru/vacancy/82823398?from=vacancy_search_list&query=python
Системный аналитик (Middle+/Senior);https://novosibirsk.hh.ru/vacancy/83980791?from=vacancy_search_list&query=python
Junior Data Scientist (Стажер);https://novosibirsk.hh.ru/vacancy/83678529?from=vacancy_search_list&query=python
Автотестировщик;https://novosibirsk.hh.ru/vacancy/84625406?from=vacancy_search_list&query=python
Программист 1С;https://novosibirsk.hh.ru/vacancy/83265452?from=vacancy_search_list&query=python
Data Engineer;https://novosibirsk.hh.ru/vacancy/77407716?from=vacancy_search_list&query=python
Инженер по тестированию (mobile);https://novosibirsk.hh.ru/vacancy/71047831?from=vacancy_search_list&query=python
Ведущий эксперт (сопровождение систем SOC);https://novosibirsk.hh.ru/vacancy/84244467?from=vacancy_search_list&query=python
Data Scientist (Middle+/Senior);https://novosibirsk.hh.ru/vacancy/84570155?from=vacancy_search_list&query=python
Разработчик информационных систем;https://novosibirsk.hh.ru/vacancy/82948782?from=vacancy_search_list&query=python
Системный администратор Linux;https://novosibirsk.hh.ru/vacancy/84484404?from=vacancy_search_list&query=python
Технический писатель со знанием IT;https://novosibirsk.hh.ru/vacancy/84569620?from=vacancy_search_list&query=python
Team Lead Backend C++ в сервис Транспорта;https://novosibirsk.hh.ru/vacancy/78525343?from=vacancy_search_list&query=python
Инженер математического моделирования;https://novosibirsk.hh.ru/vacancy/83952145?from=vacancy_search_list&query=python
Главный риск-менеджер;https://novosibirsk.hh.ru/vacancy/83041887?from=vacancy_search_list&query=python
Data Engineer;https://novosibirsk.hh.ru/vacancy/76703124?from=vacancy_search_list&query=python
Data-инженер / BI-аналитик;https://novosibirsk.hh.ru/vacancy/83251190?from=vacancy_search_list&query=python
Инженер по прикладному сопровождению (3-я линия поддержки);https://novosibirsk.hh.ru/vacancy/84260912?from=vacancy_search_list&query=python
Lead data scientist;https://novosibirsk.hh.ru/vacancy/82632615?from=vacancy_search_list&query=python
DevOps engineer (SberBrowser);https://novosibirsk.hh.ru/vacancy/84625586?from=vacancy_search_list&query=python
Эксперт 2 линии SOC;https://novosibirsk.hh.ru/vacancy/84244465?from=vacancy_search_list&query=python
Ведущий специалист ИБ;https://novosibirsk.hh.ru/vacancy/84330540?from=vacancy_search_list&query=python
Разработчик систем мониторинга / администратор Linux;https://novosibirsk.hh.ru/vacancy/81319347?from=vacancy_search_list&query=python
Преподаватель кибербезопасности;https://novosibirsk.hh.ru/vacancy/84046534?from=vacancy_search_list&query=python
IT-рекрутер;https://novosibirsk.hh.ru/vacancy/84244765?from=vacancy_search_list&query=python
DevOps–инженер (Инфраструктурная команда);https://novosibirsk.hh.ru/vacancy/82088582?from=vacancy_search_list&query=python
Инженер внедрения;https://novosibirsk.hh.ru/vacancy/81910137?from=vacancy_search_list&query=python
Руководитель направления разработки;https://novosibirsk.hh.ru/vacancy/84014782?from=vacancy_search_list&query=python
Инженер по автоматизации (DevOps);https://novosibirsk.hh.ru/vacancy/84402983?from=vacancy_search_list&query=python
Главный инженер Linux;https://novosibirsk.hh.ru/vacancy/82663070?from=vacancy_search_list&query=python
Эксперт 1 линии SOC;https://novosibirsk.hh.ru/vacancy/72211297?from=vacancy_search_list&query=python
Инженер сопровождения;https://novosibirsk.hh.ru/vacancy/83609404?from=vacancy_search_list&query=python
IT Researcher / Sourcer;https://novosibirsk.hh.ru/vacancy/84061421?from=vacancy_search_list&query=python
Руководитель отдела разработки Баз Данных;https://novosibirsk.hh.ru/vacancy/83124599?from=vacancy_search_list&query=python
Проектный менеджер;https://novosibirsk.hh.ru/vacancy/83995253?from=vacancy_search_list&query=python
Middle/Senior C++ разработчик в Поиск;https://novosibirsk.hh.ru/vacancy/82158382?from=vacancy_search_list&query=python
Технический писатель;https://novosibirsk.hh.ru/vacancy/81843133?from=vacancy_search_list&query=python
Сетевой инженер;https://novosibirsk.hh.ru/vacancy/82598734?from=vacancy_search_list&query=python
Старший сетевой инженер;https://novosibirsk.hh.ru/vacancy/82598737?from=vacancy_search_list&query=python
